Province,Day,Min Price,Max Price,Avg Price,Avg Selling Price
Jawa Tengah,2023-01-02,4500.0000000000000000,4500.0000000000000000,4500.0000000000000000,4500.0
Jawa Tengah,2023-01-03,4400.0000000000000000,4500.0000000000000000,4480.0000000000000000,4480.429594272076
Jawa Tengah,2023-01-04,4500.0000000000000000,4500.0000000000000000,4500.0000000000000000,4500.0
Jawa Tengah,2023-01-05,4400.0000000000000000,4500.0000000000000000,4437.5000000000000000,4437.308028467974
Jawa Tengah,2023-01-06,4400.0000000000000000,4525.0000000000000000,4450.0000000000000000,4447.536291147005
Jawa Tengah,2023-01-08,4400.0000000000000000,4400.0000000000000000,4400.0000000000000000,4400.0
Jawa Tengah,2023-01-09,4400.0000000000000000,4525.0000000000000000,4507.1428571428571429,4506.603332814203
Jawa Tengah,2023-01-10,4400.0000000000000000,4400.0000000000000000,4400.0000000000000000,4400.0
Jawa Tengah,2023-01-11,4400.0000000000000000,4550.0000000000000000,4465.6250000000000000,4461.053348630432
Jawa Tengah,2023-01-12,4400.0000000000000000,4550.0000000000000000,4461.3636363636363636,4459.4902687673775
Jawa Tengah,2023-01-13,4425.0000000000000000,4525.0000000000000000,4466.6666666666666667,4462.781566902989
Jawa Tengah,2023-01-14,4425.0000000000000000,4525.0000000000000000,4458.3333333333333333,4457.013932868905
Jawa Tengah,2023-01-16,4425.0000000000000000,4525.0000000000000000,4496.4285714285714286,4495.001427144284
Jawa Tengah,2023-01-17,4400.0000000000000000,4400.0000000000000000,4400.0000000000000000,4400.0
Jawa Tengah,2023-01-18,4400.0000000000000000,4600.0000000000000000,4475.0000000000000000,4474.440636316606
Jawa Tengah,2023-01-19,4400.0000000000000000,4550.0000000000000000,4505.0000000000000000,4505.3904428904425
Jawa Tengah,2023-01-20,4550.0000000000000000,4550.0000000000000000,4550.0000000000000000,4550.0
Jawa Tengah,2023-01-21,4525.0000000000000000,4650.0000000000000000,4558.3333333333333333,4558.187395426659
Jawa Tengah,2023-01-24,4425.0000000000000000,4650.0000000000000000,4546.8750000000000000,4547.343440068008
Jawa Tengah,2023-01-25,4425.0000000000000000,4650.0000000000000000,4557.9545454545454545,4555.701754385965
Jawa Tengah,2023-01-26,4425.0000000000000000,4650.0000000000000000,4579.6875000000000000,4574.690082644628
Jawa Tengah,2023-01-27,4425.0000000000000000,4750.0000000000000000,4592.8571428571428571,4593.820512820513
Jawa Tengah,2023-01-28,4425.0000000000000000,4750.0000000000000000,4545.0000000000000000,4535.730005030181
Jawa Tengah,2023-01-30,4425.0000000000000000,4750.0000000000000000,4552.7777777777777778,4551.520869712162
Jawa Tengah,2023-01-31,4425.0000000000000000,4750.0000000000000000,4611.6666666666666667,4606.300874496092
Jawa Tengah,2023-02-01,4425.0000000000000000,4425.0000000000000000,4425.0000000000000000,4425.0
Jawa Tengah,2023-02-02,4425.0000000000000000,4675.0000000000000000,4639.2857142857142857,4638.6234211871215
Jawa Tengah,2023-02-03,4425.0000000000000000,4750.0000000000000000,4649.1071428571428571,4634.602822327373
Jawa Tengah,2023-02-04,4425.0000000000000000,4750.0000000000000000,4628.5714285714285714,4622.844192778427
Jawa Tengah,2023-02-05,4700.0000000000000000,4700.0000000000000000,4700.0000000000000000,4700.0
Jawa Tengah,2023-02-06,4425.0000000000000000,4750.0000000000000000,4525.0000000000000000,4519.988508682329
Jawa Tengah,2023-02-07,4400.0000000000000000,4750.0000000000000000,4611.5384615384615385,4618.37261310855
Jawa Tengah,2023-02-08,4500.0000000000000000,4750.0000000000000000,4610.0000000000000000,4611.755564467616
Jawa Tengah,2023-02-09,4500.0000000000000000,4850.0000000000000000,4690.0000000000000000,4685.098928276999
Jawa Tengah,2023-02-10,4500.0000000000000000,4850.0000000000000000,4700.0000000000000000,4699.062856328393
Jawa Tengah,2023-02-11,4500.0000000000000000,4850.0000000000000000,4661.1111111111111111,4658.510638297872
Jawa Tengah,2023-02-13,4500.0000000000000000,4850.0000000000000000,4795.4545454545454545,4794.059682067491
Jawa Tengah,2023-02-14,4700.0000000000000000,5000.0000000000000000,4837.5000000000000000,4844.443081452404
Jawa Tengah,2023-02-15,4500.0000000000000000,5000.0000000000000000,4766.6666666666666667,4768.375750359676
Jawa Tengah,2023-02-16,4800.0000000000000000,5100.0000000000000000,4841.6666666666666667,4845.783349869216
Jawa Tengah,2023-02-17,4500.0000000000000000,5100.0000000000000000,4823.3333333333333333,4825.27975584944
Jawa Tengah,2023-02-20,4500.0000000000000000,4850.0000000000000000,4758.3333333333333333,4759.220757268425
Jawa Tengah,2023-02-22,4800.0000000000000000,5300.0000000000000000,5200.0000000000000000,5191.505612776299
Jawa Tengah,2023-02-23,4850,5300.0000000000000000,5210.0000000000000000,5200.2111932418165
Jawa Tengah,2023-02-24,5300.0000000000000000,5300.0000000000000000,5300.0000000000000000,5300.0
Jawa Tengah,2023-02-25,4850.0000000000000000,5300.0000000000000000,5235.7142857142857143,5300.0
Jawa Tengah,2023-02-28,5300.0000000000000000,5400.0000000000000000,5350.0000000000000000,5353.395626625566
Jawa Tengah,2023-03-01,5400.0000000000000000,5550.0000000000000000,5520.0000000000000000,5521.766095688127
Jawa Tengah,2023-03-02,5400.0000000000000000,5600.0000000000000000,5542.8571428571428571,5543.104222821204
Jawa Tengah,2023-03-03,5600.0000000000000000,5600.0000000000000000,5600.0000000000000000,5600.0
Jawa Tengah,2023-03-04,5600.0000000000000000,5600.0000000000000000,5600.0000000000000000,5600.0
Jawa Tengah,2023-03-06,5600.0000000000000000,5600.0000000000000000,5600.0000000000000000,5600.0
Jawa Tengah,2023-03-07,5600.0000000000000000,5800.0000000000000000,5683.3333333333333333,5676.992099873208
Jawa Tengah,2023-03-08,5800.0000000000000000,5800.0000000000000000,5800.0000000000000000,5800.0
Jawa Tengah,2023-03-09,5800.0000000000000000,5800.0000000000000000,5800.0000000000000000,5800.0
