province,sale_type,corn_type,Volume (MT),Share (%),Net GC (IDR/kg)
Jawa Tengah,purchase order,Dry Corn,21072.529000000000,0.59905922884545600000,44.45747404859170
Jawa Tengah,purchase order,Wet Corn,11621.065000000000,0.33036880562664900000,-17.071830753555500
Jawa Tengah,spot,Dry Corn,777.9500000000000000,0.02211590868283170000,50.52218848660890
Jawa Tengah,spot,Wet Corn,1704.4920000000000000,0.04845605684506350000,-7.763833266486380
Jawa Timur,purchase order,Dry Corn,9896.3315000000000000,0.18630470324715900000,31.3892476806828
Jawa Timur,purchase order,Wet Corn,6660.1748200000000000,0.12538200578813500000,0.9554916366344830
Jawa Timur,spot,Dry Corn,6089.3301000000000000,0.11463549268276800000,4.870184542361960
Jawa Timur,spot,Wet Corn,30473.227820000000,0.57367779828193800000,-38.016826821629100
