province,buyer_id,latitude,longitude,Feedmill,Share of Volume
Jawa Tengah,recw6bCZYLiUQirha,-7.1541672,110.9506636,CJ - PT MALINDO GROBOGAN,47.97938046424562
Jawa Timur,recQU4ZsdTDzhKMmk,-7.1541672,110.9506636,CJ - PT. CHEIL JEDANG GROBOGAN,0.23288725824592882
Jawa Timur,recw6bCZYLiUQirha,-7.1541672,110.9506636,CJ - PT MALINDO GROBOGAN,1.2125018881591032
Jawa Tengah,recvkCRRcgMs3BW3S,-7.150975,110.1402594,CJ - CV. SUMBER TANI,0.42715654988632423
Jawa Timur,recWgKtXCGO8eRgkY,-7.1181109,112.4149811,EJ - PT ESA SARWAGUNA ADINATA,2.1792915474407737
Jawa Tengah,recYaBXo8xSdd6XLB,-7.032551,109.7986045,CJ - PT. CJ BATANG,0.6847720248931036
Jawa Tengah,recVyZjhA2Cx90gxT,-7.0051453,110.4381254,CJ - PT SINAR INDOCHEM (Semarang),3.2925923679913773
Jawa Tengah,recypjYEs3aGkIWk6,-7.0051453,110.4381254,CJ - CPI SEMARANG,10.426876222143147
Jawa Timur,recypjYEs3aGkIWk6,-7.0051453,110.4381254,CJ - CPI SEMARANG,0.623861909582295
Jawa Tengah,recDkICXWiufzHH5J,-6.969127599999999,111.4186704,CJ - CV. ANGKASA MITRA NIAGA (BLORA),1.6226113501842727
Jawa Tengah,rece6bnLe6kzWIk8i,-6.969127599999999,111.4186704,CJ - SEGER BLORA,4.266960114511022
Jawa Timur,recDkICXWiufzHH5J,-6.969127599999999,111.4186704,CJ - CV. ANGKASA MITRA NIAGA (BLORA),0.4026592091274639
Jawa Timur,rece6bnLe6kzWIk8i,-6.969127599999999,111.4186704,CJ - SEGER BLORA,0.26951133618634593
Jawa Timur,recbYlo9Zxy3SmIld,-6.8949099,112.0416754,EJ - CV. SANDANG PANGAN TUBAN (KEREK),0.062180542741106154
Jawa Timur,reclJYILzoa5zERpM,-6.8949099,112.0416754,EJ - SANDANG PANGAN TUBAN (JENU),0.5168780984470027
Jawa Tengah,recMlkYYopiGJ1pwa,-6.8921607,110.6377502,CJ - Agrico,0.7431545681408092
Jawa Tengah,recZ4UeWiAilwgkBV,-6.8921607,110.6377502,CJ - NEW HOPE DEMAK,0.3736082299648618
Jawa Tengah,recDDth4KyP3lwW5B,-6.7320229,108.5523164,WJ - PT. Charoen Pokphand Indonesia ( Cirebon ),0.5621715445600971
Jawa Tengah,recZGg4HWcqAysKM7,-6.1701796,106.6403236,CJ - PT. Kurnia Agro Makmur Indonesia,0.5188923735979323
Jawa Tengah,recD5hszD1BE2lkRt,-0.789275,113.921327,WJ - PT QL Agrofood Bekasi,0.9172438176290679
Jawa Tengah,recP8o2fUVbJ5k1Rh,-0.789275,113.921327,CJ - JIVA GROBOGAN,0.14586768301682998
Jawa Tengah,recqb3VIGweA4YKOC,-0.789275,113.921327,CJ - JIVA SRAGEN,0.029162666752099883
Jawa Tengah,recso31g95SBi73tV,-0.789275,113.921327,CJ - PT HAVINDO PAKAN OPTIMA,0.6444677605932422
Jawa Tengah,recSozsb2iKZ6tOZB,-0.789275,113.921327,EJ - PT MALINDO FEEDMILL GRESIK,1.3960893707729152
Jawa Timur,recOT0h9Ol47pKCEq,-0.789275,113.921327,EJ - WISMA JAYA PAMEKASAN,0.020564821712332162
Jawa Timur,recSozsb2iKZ6tOZB,-0.789275,113.921327,EJ - PT MALINDO FEEDMILL GRESIK,1.518244701144084
